#   E              g(E)          Total Samplings Histogram     
 -22.000000000000      0.086902435909    154604
 -20.000000000000      0.197455527061    154458
 -18.000000000000      0.289238094732    155167
 -16.000000000000      0.362611279919    155581
 -14.000000000000      0.436579911309    155906
 -12.000000000000      0.513285792944    155611
 -10.000000000000      0.560725753256    154915
 -8.000000000000      0.605860614232    156288
 -6.000000000000      0.654196387624    155205
 -4.000000000000      0.662694571078    156860
 -2.000000000000      0.691507454025    155676
 0.000000000000      0.693147180560    156346
 2.000000000000      0.697538181501    155685
 4.000000000000      0.669162487095    156793
 6.000000000000      0.660444528090    155569
 8.000000000000      0.601539018864    157014
 10.000000000000      0.564884351032    156757
 12.000000000000      0.507135031228    156362
 14.000000000000      0.438100005276    156020
 16.000000000000      0.358620565603    156873
 18.000000000000      0.260597553397    156855
 20.000000000000      0.168725257039    156604
 22.000000000000      0.064822748118    156229
