#   E               g(E)          Total Samplings Histogram     
 -22.000000000000      0.090546672445    155481
 -20.000000000000      0.187434278532    156060
 -18.000000000000      0.293856715065    155419
 -16.000000000000      0.372096535562    155591
 -14.000000000000      0.458462271670    155513
 -12.000000000000      0.522301846166    155647
 -10.000000000000      0.558686348324    156750
 -8.000000000000      0.632486308516    155436
 -6.000000000000      0.644341313904    156015
 -4.000000000000      0.667720460035    155560
 -2.000000000000      0.688612495071    156038
 0.000000000000      0.693147180560    155728
 2.000000000000      0.695448831881    155833
 4.000000000000      0.668198233534    155845
 6.000000000000      0.633124582549    157020
 8.000000000000      0.589480073959    157406
 10.000000000000      0.551279819929    156898
 12.000000000000      0.486750673846    157501
 14.000000000000      0.421886279652    157094
 16.000000000000      0.342292985959    158119
 18.000000000000      0.264937108361    156054
 20.000000000000      0.168315225161    157251
 22.000000000000      0.045257250817    157166
